b1ddc589c0c3e4e44b9192b6c15294fd	9690	./AUDITOR_ORIENTADOR_COMENTARIOS_WORD/30%/BOT 30%/00_PC30_FINAL_OPERACIONAL/06_MODELOS_DE_USO_REAL/CHECKLIST_ANTES_DE_USAR_PC30.txt
d0a31b73458bdfdf9bd8b2bcb9598dd5	10163	./AUDITOR_ORIENTADOR_COMENTARIOS_WORD/30%/BOT 30%/00_PC30_FINAL_OPERACIONAL/06_MODELOS_DE_USO_REAL/GUIA_RAPIDO_USO_REAL_PC30.txt
da1f26dbf7cb417b1951e802a1c3257b	10278	./AUDITOR_ORIENTADOR_COMENTARIOS_WORD/30%/BOT 30%/00_PC30_FINAL_OPERACIONAL/06_MODELOS_DE_USO_REAL/MODELO_ABERTURA_CHAT_OPERACIONAL_PC30.txt
2f7649bbd8b092b08de19d3cd8a2d135	14294	./AUDITOR_ORIENTADOR_COMENTARIOS_WORD/30%/BOT 30%/00_PC30_FINAL_OPERACIONAL/07_PROJETOS_EM_ANDAMENTO/PACOTE_TRIAGEM_FONTES_PDF_ACESSIVEIS_COMENTARIO_WORD_054_2026-06-21.txt
add84d27179b41ca6777ae8c6a2844a6	2659	./AUDITOR_ORIENTADOR_COMENTARIOS_WORD/30%/BOT 30%/00_PC30_FINAL_OPERACIONAL/07_PROJETOS_EM_ANDAMENTO/REGISTRO_DECISAO_SUBSTITUIR_FONTE_FISICA_DEBRET_POR_FONTE_PDF_ACESSIVEL_2026-06-21.txt
a96fbdf8f6179795743cf841ec363e70	1919	./AUDITOR_ORIENTADOR_COMENTARIOS_WORD/30%/BOT 30%/00_PC30_FINAL_OPERACIONAL/07_PROJETOS_EM_ANDAMENTO/REGISTRO_FONTE_FISICA_DEBRET_BANDEIRA_LAGO_2008_NAO_EXECUTADO_SEM_DADOS_MANUAIS_2026-06-21.txt
16ffaeb80e82cc969fc98c3cbbe77891	83731	./AUDITOR_ORIENTADOR_COMENTARIOS_WORD/30%/BOT 30%/00_PC30_FINAL_OPERACIONAL/99_NAO_USAR_ARQUIVO_MORTO/01_RC2_E_RC2_1_NAO_USAR_AINDA/AUDITOR_ORIENTADOR_COMENTARIOS_WORD_HISTORIA_DAS_CIENCIAS_v0_2_PC30_RC2_1_DRIVE_FIRST_BVAA.txt
e269fbb14f4ff9a68e7e710a4e3e36ec	2397	./AUDITOR_ORIENTADOR_COMENTARIOS_WORD/30%/BOT 30%/00_PC30_FINAL_OPERACIONAL/99_NAO_USAR_ARQUIVO_MORTO/01_RC2_E_RC2_1_NAO_USAR_AINDA/AUDITOR_ORIENTADOR_COMENTARIOS_WORD_HISTORIA_DAS_CIENCIAS_v0_2_PC30_RC2_DRIVE_FIRST_BVAA.txt
cf8f8cd2886f3802bd1b42187c93151e	10238	./AUDITOR_ORIENTADOR_COMENTARIOS_WORD/30%/BOT 30%/00_PC30_FINAL_OPERACIONAL/99_NAO_USAR_ARQUIVO_MORTO/01_RC2_E_RC2_1_NAO_USAR_AINDA/ESTADO_COMPLETO_PC30_RC2_1_POS_BLOCO_001_E_POS_BVAA_DRIVE_BANDEIRA_2026-06-21.txt
52ae2ef8bc1ea4a644a604d186549cfa	8883	./AUDITOR_ORIENTADOR_COMENTARIOS_WORD/30%/BOT 30%/00_PC30_FINAL_OPERACIONAL/99_NAO_USAR_ARQUIVO_MORTO/01_RC2_E_RC2_1_NAO_USAR_AINDA/EXPORTAR_MAPA_COMENTARIOS_USO_REAL_CONTROLADO_PC30_RC2_1_BLOCO_001_2026-06-21.txt
